true_label,pred,target_label,pred_fw,fw_time,n_iteration_fw,dist_mean_fw,dist_max_fw,dist_min_fw,pred_fw_as,fw_as_time,n_iteration_fw_as,dist_mean_fw_as,dist_max_fw_as,dist_min_fw_as,pred_fw_pair,fw_pair_time,n_iteration_fw_pair,dist_mean_fw_pair,dist_max_fw_pair,dist_min_fw_pair,epsilon
91,91,426,426,0.4525947570800781,4,0.045290976762771606,0.09000027179718018,0.009999752044677734,426,1.6797828674316406,3,0.03557141125202179,0.06484389305114746,0.0054686665534973145,426,1.2460978031158447,3,0.05043330788612366,0.08125007152557373,0.01874983310699463,0.1
171,171,390,390,0.633873701095581,6,0.03723262995481491,0.0952383279800415,0.0,390,4.210687160491943,5,0.012247929349541664,0.023617148399353027,0.0003380775451660156,390,4.010857105255127,5,0.01300501823425293,0.02666318416595459,0.0008971691131591797,0.1
980,980,94,94,1.463742971420288,14,0.02575576677918434,0.09904789924621582,0.0,94,12.169870138168335,16,0.044943131506443024,0.0975790023803711,4.231929779052734e-06,94,9.420599699020386,14,0.049756672233343124,0.09338396787643433,0.006616085767745972,0.1
218,218,21,21,0.5336871147155762,5,0.04091660678386688,0.09333360195159912,0.0,21,2.4121029376983643,4,0.03316337615251541,0.07128918170928955,0.008007645606994629,21,0.9697768688201904,3,0.05029911920428276,0.08750021457672119,0.012499809265136719,0.1
19,19,796,796,1.0777101516723633,10,0.029200151562690735,0.0981820821762085,0.0,796,4.825248718261719,6,0.042665157467126846,0.05737292766571045,0.027881145477294922,796,2.6885080337524414,5,0.05007728189229965,0.07846701145172119,0.02153301239013672,0.1
658,496,554,554,0.9831957817077637,9,0.03397880122065544,0.0977780818939209,0.0,554,13.514640092849731,16,0.04284708946943283,0.07313716411590576,0.006768703460693359,554,8.623193979263306,10,0.017266344279050827,0.03742790222167969,0.0001233220100402832,0.1
549,893,149,149,0.7655270099639893,7,0.036145199090242386,0.0964287519454956,0.003571152687072754,149,5.788691997528076,7,0.03610432520508766,0.06447756290435791,0.006567656993865967,149,3.4427971839904785,6,0.05013633519411087,0.08615738153457642,0.013842582702636719,0.1
808,808,265,265,1.0086290836334229,9,0.03130657970905304,0.0977780818939209,0.0,265,2.7268500328063965,4,0.03982124105095863,0.06026625633239746,0.019201576709747314,265,2.9347140789031982,5,0.04997146874666214,0.07487809658050537,0.02512192726135254,0.1
305,75,226,226,0.33728504180908203,3,0.04985029995441437,0.08333349227905273,0.01666659116744995,226,0.8893320560455322,2,0.037424273788928986,0.06250011920928955,0.01249992847442627,226,1.454395055770874,3,0.04988988861441612,0.07812511920928955,0.02187490463256836,0.1
416,416,513,513,0.7859480381011963,7,0.034846436232328415,0.0964287519454956,0.003571152687072754,513,2.5347540378570557,4,0.034103866666555405,0.06594252586364746,0.0021727681159973145,513,1.8643560409545898,4,0.0500653050839901,0.08085954189300537,0.01914048194885254,0.1
