true_label,pred,target_label,pred_fw,fw_time,n_iteration_fw,dist_mean_fw,dist_max_fw,dist_min_fw,pred_fw_as,fw_as_time,n_iteration_fw_as,dist_mean_fw_as,dist_max_fw_as,dist_min_fw_as,pred_fw_pair,fw_pair_time,n_iteration_fw_pair,dist_mean_fw_pair,dist_max_fw_pair,dist_min_fw_pair,epsilon
7,7,9,9,0.5755009651184082,3,0.04955003038048744,0.08333337306976318,0.016666650772094727,9,1.9992070198059082,2,0.026463115587830544,0.04375004768371582,0.006249964237213135,9,2.0119380950927734,2,0.02646307833492756,0.04375004768371582,0.006249964237213135,0.1
2,2,3,3,0.519294023513794,3,0.049789633601903915,0.08333337306976318,0.016666650772094727,3,1.9135491847991943,2,0.02651568129658699,0.04375004768371582,0.006249964237213135,3,1.7548670768737793,2,0.039520904421806335,0.06250005960464478,0.012499958276748657,0.1
1,1,9,9,0.8719990253448486,5,0.04018236696720123,0.09333348274230957,0.0,9,6.852257013320923,7,0.04723340645432472,0.09227532148361206,0.0014747083187103271,5,15.695364713668823,24,0.03188462182879448,0.08125007152557373,0.0,0.1
0,0,9,9,0.5518808364868164,3,0.04958014562726021,0.08333337306976318,0.016666650772094727,9,2.002593755722046,2,0.02548406273126602,0.04375004768371582,0.006249964237213135,9,2.0112948417663574,2,0.025484025478363037,0.04375004768371582,0.006249964237213135,0.1
4,4,6,6,0.9409279823303223,5,0.04010460153222084,0.09333348274230957,0.0,6,2.590559959411621,3,0.04786122217774391,0.07578134536743164,0.02109372615814209,6,2.1672589778900146,4,0.034184664487838745,0.07500004768371582,0.01249992847442627,0.1
1,1,9,9,1.0974867343902588,6,0.03756820410490036,0.09523820877075195,0.0,9,3.688227891921997,4,0.03983496502041817,0.08183598518371582,0.004492133855819702,9,2.5018019676208496,4,0.03282319754362106,0.07500004768371582,0.0,0.1
4,4,6,6,1.0971100330352783,6,0.037205733358860016,0.09523820877075195,0.0,6,4.907217979431152,5,0.03619348630309105,0.08325201272964478,0.0028808116912841797,6,5.448029279708862,5,0.04364465922117233,0.07949233055114746,0.008007645606994629,0.1
9,9,6,6,0.5376067161560059,3,0.04913283511996269,0.08333337306976318,0.016666650772094727,6,1.9962718486785889,2,0.02649126574397087,0.04375004768371582,0.006249964237213135,6,1.9680438041687012,2,0.026491226628422737,0.04375004768371582,0.006249964237213135,0.1
5,5,8,8,0.36642909049987793,2,0.06666666269302368,0.06666672229766846,0.0666666030883789,8,0.5350961685180664,1,0.04999999701976776,0.05000007152557373,0.04999995231628418,8,0.5293288230895996,1,0.04999999701976776,0.05000007152557373,0.04999995231628418,0.1
9,9,7,7,0.5377578735351562,3,0.05005137622356415,0.08333337306976318,0.016666650772094727,7,1.2680718898773193,2,0.04998307675123215,0.07500004768371582,0.02499997615814209,7,0.9190490245819092,2,0.04998305067420006,0.07500004768371582,0.02499997615814209,0.1
0,0,7,7,0.7177431583404541,4,0.04603317007422447,0.09000015258789062,0.00999993085861206,7,3.0918521881103516,3,0.026622861623764038,0.050781309604644775,0.00703120231628418,7,2.94468092918396,3,0.03034939058125019,0.05781257152557373,0.007812470197677612,0.1
6,6,8,8,0.7181119918823242,4,0.04579109698534012,0.09000015258789062,0.00999993085861206,8,3.3260040283203125,4,0.04486961290240288,0.08359384536743164,0.0039061903953552246,8,2.60624098777771,4,0.040022119879722595,0.08750009536743164,0.01249992847442627,0.1
9,9,8,8,0.7342538833618164,4,0.045424122363328934,0.09000015258789062,0.00999993085861206,8,2.339287757873535,3,0.04402661323547363,0.07812505960464478,0.00937497615814209,8,2.176543951034546,3,0.037808582186698914,0.07500004768371582,0.0,0.1
0,0,8,8,0.7142887115478516,4,0.04536672681570053,0.09000015258789062,0.00999993085861206,8,2.7076501846313477,3,0.03713740408420563,0.07187509536743164,0.015624985098838806,8,2.3268251419067383,4,0.039138227701187134,0.08750009536743164,0.012499809265136719,0.1
1,1,9,9,1.0956852436065674,6,0.037887267768383026,0.09523820877075195,0.0,9,5.4232659339904785,5,0.04011091962456703,0.08013308048248291,0.0006652474403381348,9,3.589132070541382,4,0.043811097741127014,0.08125007152557373,0.006249904632568359,0.1
